tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2
Liver,ACTA2,Myeloid,NL→IT,NL,IT,0.039259717,0.02516204,-35.900001525878906,↓,1.0,NS,15/36,6,6
Liver,ACTA2,Myeloid,NL→IA,NL,IA,0.039259717,0.023729952,-39.59999847412109,↓,1.0,NS,12/30,6,5
Liver,ACTA2,Myeloid,NL→AR,NL,AR,0.039259717,0.0120374495,-69.30000305175781,↓,0.671373,NS,8/18,6,3
Liver,ACTA2,Myeloid,NL→CR,NL,CR,0.039259717,0.037162025,-5.300000190734863,↓,0.511482,NS,6/18,6,3
Liver,ACTA2,Myeloid,IT→IA,IT,IA,0.02516204,0.023729952,-5.699999809265137,↓,1.0,NS,13/30,6,5
Liver,ACTA2,Myeloid,IA→AR,IA,AR,0.023729952,0.0120374495,-49.29999923706055,↓,0.525234,NS,8/15,5,3
Liver,ACTA2,Myeloid,CR→AR,CR,AR,0.037162025,0.0120374495,-67.5999984741211,↓,0.184039,NS,8/9,3,3
Liver,ACTA2,CD4_T,NL→IT,NL,IT,0.06936304,0.04711659,-32.099998474121094,↓,0.484848,NS,23/36,6,6
Liver,ACTA2,CD4_T,NL→IA,NL,IA,0.06936304,0.082228675,18.5,↑,0.662338,NS,18/30,6,5
Liver,ACTA2,CD4_T,NL→AR,NL,AR,0.06936304,0.06569305,-5.300000190734863,↓,0.904762,NS,8/18,6,3
Liver,ACTA2,CD4_T,NL→CR,NL,CR,0.06936304,0.067816205,-2.200000047683716,↓,0.904762,NS,8/18,6,3
Liver,ACTA2,CD4_T,IT→IA,IT,IA,0.04711659,0.082228675,74.5,↑,0.177489,NS,23/30,6,5
Liver,ACTA2,CD4_T,IA→AR,IA,AR,0.082228675,0.06569305,-20.100000381469727,↓,0.392857,NS,11/15,5,3
Liver,ACTA2,CD4_T,CR→AR,CR,AR,0.067816205,0.06569305,-3.0999999046325684,↓,1.0,NS,5/9,3,3
Liver,ACTA2,CD8_T,NL→IT,NL,IT,0.05987675,0.073686086,23.100000381469727,↑,0.699134,NS,21/36,6,6
Liver,ACTA2,CD8_T,NL→IA,NL,IA,0.05987675,0.088079415,47.09999847412109,↑,0.428571,NS,20/30,6,5
Liver,ACTA2,CD8_T,NL→AR,NL,AR,0.05987675,0.07370553,23.100000381469727,↑,0.547619,NS,12/18,6,3
Liver,ACTA2,CD8_T,NL→CR,NL,CR,0.05987675,0.084215105,40.59999847412109,↑,0.547619,NS,12/18,6,3
Liver,ACTA2,CD8_T,IT→IA,IT,IA,0.073686086,0.088079415,19.5,↑,0.792208,NS,17/30,6,5
Liver,ACTA2,CD8_T,IA→AR,IA,AR,0.088079415,0.07370553,-16.299999237060547,↓,1.0,NS,8/15,5,3
Liver,ACTA2,CD8_T,CR→AR,CR,AR,0.084215105,0.07370553,-12.5,↓,0.7,NS,6/9,3,3
Liver,ACTA2,NK,NL→IT,NL,IT,0.052404102,0.039631557,-24.399999618530277,↓,0.818182,NS,20/36,6,6
Liver,ACTA2,NK,NL→IA,NL,IA,0.052404102,0.059546657,13.600000381469728,↑,0.792208,NS,17/30,6,5
Liver,ACTA2,NK,NL→AR,NL,AR,0.052404102,0.06102923,16.5,↑,0.547619,NS,12/18,6,3
Liver,ACTA2,NK,NL→CR,NL,CR,0.052404102,0.0586846,12.0,↑,0.904762,NS,10/18,6,3
Liver,ACTA2,NK,IT→IA,IT,IA,0.039631557,0.059546657,50.29999923706055,↑,0.177489,NS,23/30,6,5
Liver,ACTA2,NK,IA→AR,IA,AR,0.059546657,0.06102923,2.5,↑,0.785714,NS,6/15,5,3
Liver,ACTA2,NK,CR→AR,CR,AR,0.0586846,0.06102923,4.0,↑,0.7,NS,3/9,3,3
